Level,Floor,Blocks,Blocks_HP
133,9,6,618
134,10,3,399
135,10,5,670
136,10,1,135
137,10,3,408
138,10,2,274
139,10,2,276
140,10,4,556
141,9,4,354
142,10,5,705
143,10,4,568
144,9,4,571
145,10,4,576
146,9,5,635
147,9,4,523
148,10,2,294
149,10,5,740
150,9,6,765
151,9,4,539
152,9,5,739
153,10,6,912
154,9,5,645
155,8,4,494
156,10,2,310
157,10,5,780
158,9,4,511
159,8,6,829
160,10,5,795
161,9,5,799
162,9,4,557
163,10,4,648
164,9,6,790
165,10,5,820
166,9,7,823
167,10,2,332
168,10,2,334
169,10,3,504
170,9,4,603
171,9,4,679
172,9,5,544
173,8,5,584
174,8,5,582
175,7,5,578
176,10,6,1050
177,9,5,628
178,10,3,531
179,10,2,356
180,10,5,895
181,9,5,598
182,8,5,734
183,9,6,900
184,9,3,389
185,10,4,736
186,9,6,950
187,9,6,887
188,9,3,540
189,10,4,752
190,10,4,756
191,9,5,777
192,8,3,398
193,10,2,384
194,10,2,386
195,10,3,582
196,10,3,585
197,10,4,784
198,10,4,788
199,9,4,693
200,10,5,995
201,9,4,611
202,8,4,614
203,9,3,548
204,10,3,609
205,10,5,1020
206,9,3,462
207,10,5,1030
208,9,6,1103
209,8,8,1275
210,9,4,604
211,10,3,630
212,10,4,844
213,9,7,884
214,9,8,1237
215,10,3,642
216,10,3,645
217,10,4,864
218,9,3,650
219,9,4,665
220,10,2,438
221,10,2,440
222,10,3,663
223,9,6,1202
224,8,7,1136
225,7,4,677
226,10,5,1125
227,9,7,1422
228,9,5,944
229,10,1,228
230,10,3,687
231,10,4,920
232,10,4,924
233,10,4,928
234,9,6,1170
235,10,3,702
236,10,5,1175
237,10,4,944
238,10,5,1185
239,9,7,1553
240,9,5,1031
241,9,5,794
242,8,5,977
243,7,5,938
244,8,5,1112
245,7,5,1079
246,10,2,490
247,10,4,984
248,10,2,494
249,10,2,496
250,10,2,498
251,10,2,500
252,10,4,1004
253,10,4,1008
254,10,5,1265
255,10,2,508
256,10,3,765
257,10,4,1024
258,10,5,1285
259,9,5,1108
260,10,5,1295
261,9,5,1109
262,10,4,1044
263,10,4,1048
264,9,4,917
265,10,2,528
266,10,4,1060
267,9,4,672
268,8,6,1341
269,9,7,1727
270,9,7,1692
271,9,6,1101
272,8,9,1126
273,10,4,1088
274,10,4,1092
275,10,2,548
276,10,3,825
277,9,5,1379
278,8,6,1387
279,10,2,556
280,10,3,837
281,10,6,1680
282,9,8,1661
283,8,7,1262
284,10,4,1132
285,10,5,1420
286,9,7,1758
287,8,6,1366
288,10,4,1148
289,10,1,288
290,10,2,578
291,10,6,1740
292,9,3,596
293,10,4,1168
294,9,4,1082
295,10,4,1176
296,9,2,509
297,10,6,1776
298,9,4,865
299,10,0,0
300,10,1,299
301,10,3,900
302,10,5,1505
303,9,7,1785
304,8,6,1567
305,9,5,1398
306,8,7,1707
307,7,6,1263
308,10,3,921
309,9,6,1322
310,10,4,1236
311,9,6,1480
312,8,3,674
313,10,2,624
314,10,5,1565
315,9,5,1569
316,8,8,1586
317,9,5,1332
318,10,5,1585
319,10,2,636
320,10,2,638
321,10,3,960
322,9,3,803
323,10,3,966
324,10,4,1292
325,10,3,972
326,10,3,975
327,9,6,1636
328,10,2,654
329,10,6,1968
330,9,3,750
331,9,4,1016
332,10,2,662
333,10,4,1328
334,9,3,838
335,10,6,2004
336,9,4,1224
337,8,5,1474
338,9,6,1892
339,9,4,1042
340,8,2,355
341,10,4,1360
342,9,6,2045
343,10,6,2052
344,9,3,898
345,10,2,688
346,10,3,1035
347,10,4,1384
348,9,6,1569
349,10,7,2436
350,9,4,1158
351,10,2,700
352,10,2,702
353,10,3,1056
354,10,5,1765
355,9,5,1482
356,8,4,793
357,9,4,1108
358,10,1,357
359,10,4,1432
360,10,3,1077
361,10,1,360
362,10,7,2527
363,9,5,1373
364,8,6,1836
365,10,4,1456
366,9,3,919
367,10,4,1464
368,10,3,1101
369,10,4,1472
370,10,6,2214
371,10,4,1480
372,10,3,1113
373,9,4,1172
374,8,5,1548
375,10,4,1496
376,9,6,1723
377,9,4,1355
378,9,5,1884
379,9,7,2346
380,9,6,1707
381,10,5,1900
382,10,3,1143
383,10,4,1528
384,9,1,131
385,10,3,1152
386,10,4,1540
387,9,5,1929
388,10,1,387
389,10,5,1940
390,9,4,1405
391,10,5,1950
392,9,5,1732
393,9,5,1959
394,10,2,786
395,10,5,1970
396,9,8,2578
397,10,3,1188
398,10,5,1985
399,9,5,1757
400,8,4,1262
401,10,3,1200
402,9,5,1644
403,9,4,1551
404,9,3,1123
405,10,4,1616
406,10,4,1620
407,10,7,2842
408,9,3,995
409,10,6,2448
410,9,4,1565
411,10,3,1230
412,9,7,2666
413,8,7,1944
414,10,4,1652
415,10,4,1656
416,9,5,1665
417,10,4,1664
418,10,3,1251
419,10,4,1672
420,9,6,2513
421,10,3,1260
422,10,4,1684
423,9,4,1071
424,10,5,2115
425,9,5,1985
426,9,5,1557
427,10,3,1278
428,10,4,1708
429,9,2,566
430,10,4,1716
431,10,5,2150
432,9,6,2001
433,8,4,1335
434,10,1,433
435,10,3,1302
436,10,4,1740
437,9,5,1993
438,9,7,3058
439,9,5,2120
440,9,5,2006
441,10,3,1320
442,9,3,883
443,8,7,2653
444,9,3,1050
445,10,2,888
446,10,2,890
447,10,4,1784
448,9,7,2685
449,10,2,896
450,10,3,1347
451,10,1,450
452,10,2,902
453,10,6,2712
454,9,5,1994
455,8,5,1096
456,8,3,914
457,10,4,1824
458,9,3,1169
459,10,3,1374
460,10,5,2295
461,9,3,1026
462,10,3,1383
463,9,6,2155
464,8,4,1458
465,10,2,928
466,10,3,1395
467,10,4,1864
468,10,5,2335
469,9,6,2308
470,8,6,2082
471,8,3,638
472,10,3,1413
473,9,2,705
474,10,1,473
475,10,3,1422
476,9,4,1544
477,10,2,952
478,10,0,0
479,10,4,1912
480,9,3,1413
481,9,3,1408
482,10,2,962
483,10,3,1446
484,9,4,1894
485,10,3,1452
486,10,1,485
487,10,4,1944
488,10,4,1948
489,10,4,1952
490,9,5,2091
491,10,3,1470
492,9,5,1799
493,8,3,697
494,10,4,1972
495,10,6,2964
496,9,5,1430
497,10,3,1488
498,10,4,1988
499,9,4,1739
500,10,4,1996
501,10,4,2000
502,9,7,3076
503,9,5,1683
504,10,1,503
505,10,3,1512
506,10,5,2525
507,9,6,2599
508,9,4,2023
509,10,1,508
510,10,3,1527
511,10,2,1020
512,10,4,2044
513,10,4,2048
514,10,2,1026
515,10,4,2056
516,10,4,2060
517,9,7,3099
518,8,6,2536
519,9,5,2085
520,10,6,3114
521,9,6,2110
522,9,6,2716
523,8,8,2966
524,10,3,1569
525,10,2,1048
526,10,4,2100
527,9,4,1959
528,10,3,1581
529,10,3,1584
530,10,6,3174
531,9,6,3018
532,10,5,2655
533,10,4,2128
534,9,4,1519
535,10,3,1602
536,9,5,2142
537,9,6,2456
538,10,1,537
539,10,5,2690
540,9,6,2693
541,9,4,1902
542,10,4,2164
543,10,3,1626
544,9,6,2986
545,9,8,3742
546,8,8,2657
547,9,4,2157
548,10,5,2735
549,10,4,2192
550,9,5,2727
551,10,3,1650
552,10,3,1653
553,10,4,2208
554,9,5,2758
555,8,6,3026
556,9,4,1886
557,10,2,1112
558,10,4,2228
559,10,4,2232
560,9,5,2197
561,10,1,560
562,10,3,1683
563,9,4,2225
564,10,4,2252
565,10,3,1692
566,10,1,565
567,10,3,1698
568,10,5,2835
569,9,5,2246
570,10,6,3414
571,9,7,1730
572,8,3,1138
573,10,4,2288
574,9,6,2759
575,9,6,3194
576,9,4,2292
577,9,6,2888
578,9,6,3193
579,8,6,2902
580,9,5,2555
581,10,3,1740
582,10,6,3486
583,9,5,2359
584,10,1,583
585,10,1,584
586,10,3,1755
587,10,6,3516
588,9,6,2047
589,8,5,2386
590,9,3,1209
591,10,4,2360
592,10,3,1773
593,10,4,2368
594,9,4,1354
595,10,3,1782
596,10,4,2380
597,9,5,2418
598,10,4,2388
599,10,3,1794
600,10,4,2396
