Level,Floor,Blocks,Blocks_HP
434,10,1,433
435,10,3,1302
436,9,4,1739
437,8,3,1192
438,10,3,1311
439,10,3,1314
440,10,3,1317
441,10,5,2200
442,9,5,1827
443,10,5,2210
444,10,3,1329
445,10,3,1332
446,10,4,1780
447,10,5,2230
448,10,3,1341
449,10,5,2240
450,10,5,2245
451,9,5,2249
452,9,6,2465
453,9,3,1143
454,10,4,1812
455,10,2,908
456,10,2,910
457,10,2,912
458,10,6,2742
459,9,5,1918
460,10,4,1836
461,9,6,2329
462,8,10,3294
463,7,4,1402
464,6,6,1864
465,9,6,2321
466,9,4,1452
467,9,5,1865
468,10,3,1401
469,9,5,2339
470,10,2,938
471,10,2,940
472,10,4,1884
473,10,3,1416
474,10,5,2365
475,9,4,1183
476,10,5,2375
477,9,1,128
478,10,4,1908
479,9,5,2020
480,8,5,1980
481,10,5,2400
482,9,3,1071
483,10,0,0
484,10,2,966
485,10,5,2420
486,9,3,785
487,10,2,972
488,10,5,2435
489,10,4,1952
490,9,7,3104
491,9,6,2431
492,9,5,1881
493,9,6,2048
494,10,4,1972
495,9,3,1246
496,8,3,1150
497,10,2,992
498,10,5,2485
499,9,5,2482
500,8,5,2397
501,9,2,954
502,10,4,2004
503,9,5,2055
504,10,3,1509
505,10,1,504
506,10,3,1515
507,10,4,2024
508,10,4,2028
509,9,4,1047
510,10,4,2036
511,10,4,2040
512,10,4,2044
513,10,1,512
514,10,1,513
515,10,4,2056
516,9,6,2717
517,9,6,3095
518,9,4,1617
519,10,1,518
520,10,3,1557
521,10,2,1040
522,10,3,1563
523,10,2,1044
524,10,4,2092
525,10,5,2620
526,9,4,1611
527,9,3,1577
528,10,3,1581
529,10,4,2112
530,9,4,1080
531,10,2,1060
532,10,2,1062
533,10,3,1596
534,10,2,1066
535,10,3,1602
536,9,4,1723
537,9,5,2252
538,9,5,2160
539,9,5,2329
540,9,4,1734
541,8,3,1189
542,10,3,1623
543,10,4,2168
544,9,6,2400
545,8,5,2208
546,10,3,1635
547,9,7,2912
548,9,5,2597
549,9,6,3224
550,9,7,3203
551,8,4,2028
552,10,0,0
553,10,6,3312
554,9,2,611
555,10,5,2770
556,9,7,2044
557,8,6,2777
558,9,2,1113
559,10,4,2232
560,9,5,2544
561,10,4,2240
562,9,8,4000
563,8,7,2311
564,10,4,2252
565,10,4,2256
566,10,3,1695
567,10,1,566
568,10,2,1134
569,10,4,2272
570,10,3,1707
571,10,4,2280
572,9,9,4275
573,10,2,1144
574,10,4,2292
575,10,5,2870
576,9,4,2295
577,10,3,1728
578,10,5,2885
579,10,5,2890
580,10,1,579
581,10,4,2320
582,10,6,3486
583,10,3,1746
584,10,7,4081
585,9,10,5787
586,8,11,4714
587,8,8,3416
588,9,5,2578
589,10,3,1764
590,10,4,2356
591,9,6,2647
592,8,5,2504
593,7,7,2919
594,9,8,3139
595,8,5,2256
596,10,4,2380
597,10,3,1788
598,10,2,1194
599,10,4,2392
600,9,3,517
